,TRBV9,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV29-1,TRBV28,TRBV27,TRBV25-1,TRBV24-1,TRBV23-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,id
732,0.04768965137072915,0.02860424952258005,0.017781654891881375,0.005522963481784977,0.01180967703768961,0.0011176571573796124,0.0018954229192195485,0.02076504170908684,0.012605268798528043,0.001032899547471079,0.0007174572089064193,0.0016039340995827583,0.023836201955925465,0.040560970432952106,0.01672195842689641,0.011258501363186492,0.042790595622924685,0.007830554150340892,0.0005135842922939768,0.016163407460737012,0.00954550358721939,0.02520887073738409,0.0033271071727134,0.07825179944042812,0.003336695413311558,0.008172982588670158,0.0069938858354002395,0.03508965762503653,0.021466270633618098,0.022543292367353335,0.04118083050307576,0.027736794429842105,0.007336022848523016,0.0074273574690667515,0.008685960610444906,0.020492067846457903,0.05423917299922235,0.047020290414373916,0.06633034229356254,0.025020396456327743,2.6616264342513455e-05,0.0006836646663403844,0.004532139131925185,0.012419382130395276,0.009302527316409464,0.005286180110717343,0.05007655391105447,0.0026403574395082916,0.001338455850919161,0.009376437622279143,0.02734556844013666,0.0041373315902495005,0.02025466736563291,0.0065447051434348435,0.013142019241954373,0.0026664410525721353,HIP14066.txt
733,0.03518291963421631,0.056267422961587016,0.016797004518617625,0.006170598633090304,0.01147747636659429,0.00080720821150441,0.0033310903640358467,0.01403690326173803,0.0361937927300392,0.001282962473837555,0.00044664378213063536,0.0012877131842869184,0.01087627918031088,0.0147446156078592,0.008575748461930415,0.03159490730539777,0.02632719589545141,0.006525715160974599,0.000714669217228263,0.027073439034356706,0.006115270510808972,0.018106342822602855,0.002761670688268006,0.04219994172483342,0.016518279703310563,0.01660472273808241,0.021793800495014563,0.036698597837526735,0.032431578232691584,0.022779747060668886,0.007212183503265618,0.024154868036399598,0.009620810284969866,0.02443856178700341,0.007159010480076606,0.02073203841970544,0.0791095547972297,0.04118247802955701,0.06340731114886088,0.016046821982650113,1.855894736943566e-05,0.0007961538335709557,0.0058251543736853135,0.00973994841726747,0.007308655352756155,0.00842403026544837,0.06994689509022606,0.002618741812700191,0.0010424561273044309,0.01456444482659446,0.025122917162253223,0.0021272915351060006,0.012344505087885885,0.006915403828234508,0.011471116712585234,0.0029458303582987327,HIP05377.txt
734,0.018881905461439044,0.06749726026399239,0.016929001274455315,0.0045085289922487315,0.01684423223180612,0.0008151520089491493,0.0031959043669233817,0.013155221502476227,0.03582785923244814,0.0009697814440491822,0.00020981794422457613,0.0008715144078467576,0.03229494524923519,0.06204425870507653,0.008446859883321032,0.03129770375734283,0.0231251496265519,0.006978055430646354,0.00028568339773293937,0.023789138720613848,0.007100777955607039,0.02243201927625747,0.0015109571510164214,0.061369119690984616,0.016297488089952884,0.015120632399947712,0.028571236027027925,0.0014015527233510435,0.024425591096303545,0.021601180615404073,0.04121265460267802,0.030404238991820456,0.008197781939895465,0.009502643891485104,0.0026565929483907866,0.0096633740152914,0.04566940944815823,0.025787541798749113,0.054557046832036216,0.035332474272640864,2.0222422115477284e-05,0.0008725236919435685,0.013993245837506338,0.010773971506780281,0.006980818736297757,0.0059504203628322795,0.0609114793064849,0.0009283621886675823,0.0002899935790128241,0.006931199065497554,0.02739166553165733,0.004591381482261382,0.015538707542346349,0.005818129136086041,0.007735790300292793,0.0004898016418394828,HIP11513.txt
735,0.05129066674778162,0.055385210647354646,0.00041770564221044643,0.0022921944157061713,0.006391540528082487,0.0006455922608304357,0.0017524384813632353,0.02015507455941647,0.021329910486879104,6.623009872392568e-05,0.0005163193348758379,0.0005786423657135454,0.03228575751162255,0.04762029148303271,0.008940814304717033,0.009803478777639641,0.04682001229443103,0.0006145596178181076,0.0006952536373834082,0.02859758449008529,0.009514194027124938,0.03224133863788522,0.0034792444643659674,0.0920450281278073,0.0035010854720247046,0.012296203720115908,0.03447124601143707,0.03768355787110621,0.0331975630246325,0.009335750899579762,0.05849515981901939,0.03404089329484734,0.004218510849622799,0.010443306403621929,0.002821398393474612,0.01065789110007984,0.05112676626428092,0.05644750295280911,0.052105679394595615,0.01601125437174408,,0.0008737424543647099,0.002021531290700688,0.0037500629465579216,0.006699021352582465,0.006223579922186796,0.013219133037089091,0.0015652254288486603,0.001026636501430316,0.0026219832921106257,0.022589254965078142,0.003870411072128992,0.01602449428409678,0.005985284292279246,0.010997751626223753,0.0021990347484789037,HIP01798.txt
736,0.05824972995123772,0.0588208453525269,0.009611548679531925,0.003129247026277801,0.005998816278380045,0.0007056728594140849,0.0016064192367154565,0.023254472361678557,0.0496102674946676,0.0004260057884183399,0.00027130380999866376,0.0006919257185133514,0.021295633287604955,0.04946023352971847,0.006505326314952162,0.03951979814757329,0.0075999658856936,0.005618827752183362,0.00034693562243106495,0.014589396492983818,0.00658122934206991,0.020767779660518532,0.00199029226014304,0.025912585939482716,0.020454769722415903,0.01704479261261431,0.01220653953985437,0.04011934107349328,0.017139426707977454,0.029940368448375863,0.06378902363737844,0.0512513878288832,0.011785780819488539,0.026684033241657704,0.004041337573675917,0.0107411000878113,0.05971247233997192,0.005207536639685258,0.048501595883178726,0.014430608790287477,,0.0009324201605470529,0.01494676544709751,0.011188887395755584,0.012617304140063016,0.006431220101978692,0.050805150937628,0.001161047270548614,0.0008649269150540997,0.01822219298433531,0.020695619906256516,0.0057839708016166795,0.006794722288104202,0.0013746759407455766,0.0022172282622271388,0.00034949370857689874,HIP14211.txt
737,0.039470530148279524,0.048651268357243864,0.013415493849967179,0.0058965333768856674,0.00858158909899153,0.000974034432088276,0.002309911517301609,0.02032943340444538,0.03887285487785409,0.0013359468575240023,0.001199709868295444,0.0017413638863759584,0.021475012507589954,0.03947903029395018,0.012181873160728803,0.03332045972749999,0.030311277842474046,0.0068960500541518175,0.0011212437904391606,0.007125922757891459,0.009135382090255075,0.022803510212087333,0.004377993811314586,0.03224585182073527,0.016229457688818973,0.012616950264574737,0.009293214855439111,0.03462109929509552,0.04718418260406212,0.01781812221927937,0.04592782587877184,0.0403245821086782,0.012369083646619832,0.008921454875799836,0.008565992550075466,0.021782295105471135,0.05031000223109048,0.01236803681387983,0.0701852568267503,0.031087668191511326,2.1873292346026455e-05,0.0006470777926806732,0.001895567995837627,0.015010209365935267,0.004123382524881722,0.0062243700129519285,0.06699156385512192,0.002510191836513531,0.0014990925262900765,0.007773316573987822,0.010875768709285406,0.005259294491635,0.01844370025699004,0.003332006967241478,0.010339483329047265,0.0021955975689660237,HIP13774.txt
738,0.007936596927101428,0.03941154397120195,0.008488739059405611,0.002415967290378307,0.008473829150560887,0.0009222389599544391,0.0035389739738953614,0.011613783414940421,0.04073754809609192,0.0009574853109940739,0.0006794445244914493,0.001796346469006879,0.02062325462003575,0.05070328162871349,0.016867721160214007,0.026098573171138974,0.024668285361353067,0.006641148231741908,0.0006125665672934976,0.01789545196622047,0.008236895412765717,0.015597669429620953,0.002005816852242335,0.05071317992032446,0.01650257864872649,0.007328829536369686,0.0057234111327219275,0.028670132471578718,0.022646425122746224,0.019533151045822476,0.05004613725422151,0.03528989140523856,0.015373319934011321,0.02692440289414767,0.003742989833388192,0.019717876670727677,0.0730595072490717,0.01997916702830419,0.065552910007095,0.024023567533329043,4.626196313769772e-05,0.0006213023165028166,0.006495177101487081,0.0164567864142685,0.008305824640141594,0.006935070419549422,0.06464184873717109,0.0029544933125959173,0.001312975265679217,0.015607757378970959,0.03247559729276399,0.003119556794312184,0.02012972230797196,0.004545716572161375,0.01388666765607586,0.0007146025900225444,HIP14124.txt
739,0.021480877577541174,0.04741077807460416,0.014078083183338403,0.0030838400188859926,0.013962882944540553,0.001012291243571314,0.003601424347623506,0.014007473894670858,0.03624842013651125,0.001217965326657082,0.0008040068449336706,0.0022079079195672815,0.025601523452367284,0.03478068764617729,0.011977352745950288,0.03066787903990986,0.027410389677319215,0.0049335709556060856,0.0006756486304280672,0.02012073034991097,0.007195019170514727,0.025991806488720823,0.002670028238369333,0.051396665819867265,0.016210127118469704,0.01634947652053271,0.02332307191022831,0.025400819953307775,0.030463409900501864,0.018144666264434377,0.04406989332131703,0.02694094199634239,0.00993990736438315,0.01627662395351895,0.007600794668173085,0.01635589105702041,0.06811337597083715,0.04180564384059245,0.04946074567968495,0.029292455440515657,1.2019811251289703e-05,0.0006791371767942435,0.019570725692107285,0.015110009946797459,0.004977418220041278,0.006589639308832187,0.04917503350427534,0.0029813804041044075,0.0012638664819028282,0.006786498366243881,0.02063063774157685,0.00418578630259044,0.008899180047253262,0.005261229175846405,0.00865479796127618,0.0029375411716602495,HIP14143.txt
740,0.04527598632993408,0.05440548929860638,0.016273697420532026,0.0036484140625378577,0.014641315841328249,0.0005914341643407933,0.0012944676041108329,0.019234394052075568,0.03491352280424004,0.0006384553043987654,0.0004776099708964499,0.0007489602837387715,0.021182334426021184,0.03373549326486398,0.010064207160522675,0.029041372102544254,0.025847931181650307,0.007995275001554147,0.000895197840100882,0.014548080600763996,0.008148748664683304,0.025786653348784553,0.002741246299381781,0.03441605611862573,0.016879558569184713,0.013066112258110442,0.006479583374066238,0.037166256417886845,0.021190212708411052,0.027937361062027915,0.04565862439356877,0.06378069769100542,0.007838245017539294,0.00649662469683509,0.0052350305957906355,0.013659618158935908,0.041822382070635315,0.028274211597847886,0.07062890874624583,0.027240381234729927,2.800954250472086e-05,0.0010037116132351853,0.015268922363090822,0.013541961960679453,0.01060320022359421,0.0064699605991760875,0.052842510972789455,0.0005588975969391899,0.000373990231159114,0.00547377766095892,0.0143747595573976,0.004467002740371697,0.024125611899879915,0.004808469182891133,0.005736919877510392,0.000422142238764274,Keck0119_MC1.txt
741,0.041402005783490674,0.048788155234680906,0.0013271742020536745,0.005904643066843328,0.01213516105632425,0.0009845277196886939,0.0017546254133346017,0.02110407500498383,0.03671601715807119,0.0003788337913240674,0.0007849502324835448,0.0017952263195605367,0.03207259904391276,0.04717849657561678,0.017902046987791354,0.03409114099693031,0.04632586753929793,0.0014477280095611085,0.0006895719115058793,0.01833084115293118,0.010143038467390784,0.033483186837924256,0.003921009915881874,0.0646261852694371,0.017422176314166017,0.01887422750298249,0.018353909319584295,0.032899916499837055,0.04909789243573308,0.013763617722881075,0.05233893439319163,0.010715779282056484,0.003267570066916483,0.017205580573851055,0.004660518986055433,0.015950859397003147,0.0340480188754947,0.028729374515883303,0.05402955972667443,0.011824143796571013,2.3752433925971983e-05,0.0006000088255386183,0.01469272061992106,0.012577384977367108,0.004082691336693588,0.006110874642968794,0.02726983883632386,0.002956929807790902,0.0013149436183388344,0.008441397494754711,0.017617088733175704,0.005831077740546402,0.01772707634941608,0.004418686412152799,0.008182573610697191,0.0016837674604861055,HIP00826.txt
