,TRBJ2-7,TRBJ2-6,TRBJ2-5,TRBJ2-4,TRBJ2-3,TRBJ2-2,TRBJ2-1,TRBJ1-6,TRBJ1-5,TRBJ1-4,TRBJ1-3,TRBJ1-2,TRBJ1-1,id
6,0.235883783136059,0.01606284561495746,0.030129411746864985,0.006753231572767888,0.04420209699110749,0.01443524106235877,0.16868834904523208,0.0025992125935319107,0.13275062568511495,0.04220577693588206,0.01764622245561058,0.10539881577351966,0.18324438738699306,HIP14244.txt
7,0.10348991872881182,0.015078264588806758,0.07237904385468741,0.012088914514294407,0.08996052479772768,0.03221759261791932,0.06385743811909961,0.04425077025849359,0.08564894926653965,0.06604575066183449,0.055814966839183584,0.18689435786886835,0.1722735078837334,HIP00819.txt
8,0.22891627327779593,0.013617890894629154,0.077301728022857,0.01541245756497932,0.08537836725699044,0.07698355630658614,0.1581317596223477,0.03563676891420935,0.0906450863227813,0.04636296812247973,0.030858038224870713,0.06041727598431383,0.08033782948515952,HIP12538.txt
9,0.18745391292445143,0.023760019689265003,0.1312952222143269,0.008554192167569771,0.11815812726654845,0.062460367057517986,0.11722330476095183,0.03139047890011096,0.11420292893168688,0.059098669658665746,0.012691208196388484,0.053638706352435776,0.08007286188008073,HIP14036.txt
10,0.05922129883975205,0.020201658309538104,0.042665448231478206,0.01058448547563005,0.054214905959713046,0.04337080400607151,0.04438739867225163,0.04952409225938378,0.11313645722308034,0.07052166882628927,0.06082683665318244,0.20680188000748537,0.22454306553614403,HIP01499.txt
11,0.032361885989068244,0.019027994540939883,0.11261672047186308,0.017028330798554574,0.09693510974644423,0.09734488685877501,0.05512497855959049,0.04670105561959582,0.11953514540767463,0.06991812411334292,0.048756141710883855,0.14367307393718787,0.14097655224607938,HIP02024.txt
12,0.13838696945815873,0.015376537962321876,0.09598316359188526,0.009074859505520703,0.06540822552426363,0.02765319116256649,0.04765413220810934,0.045894761692037954,0.11422424800207488,0.060077785310435075,0.04714863221307911,0.17308027238441573,0.16003722098513123,HIP14170.txt
13,0.25732222304125574,0.017607173890323607,0.048572702966860955,0.017317365138194735,0.10119822587413636,0.05094674124850586,0.19149164989383008,0.016867772018025497,0.04976534423329751,0.020198452693996397,0.028143587287150777,0.08502681999049294,0.11554194172392943,HIP08236.txt
14,0.20008812491362035,0.01923637513948205,0.0629683322936367,0.017426785798301866,0.09728441512540834,0.06920164594862985,0.14640936511584196,0.03435712760232656,0.08829673424310308,0.04262381645205092,0.03496913772275005,0.08067465463725193,0.10646348500759634,Keck0024_MC1.txt
15,0.14411636278670953,0.014241620304641043,0.08487656089211287,0.01714392065217115,0.11872934763220203,0.0799307130337486,0.13765478695740208,0.03593929965594316,0.06270818807992413,0.04282950099569873,0.041571785651684234,0.1066681610286297,0.11358975232913276,HIP05574.txt
16,0.21879785705065194,0.011781847277968528,0.07506826400007648,0.013273703050396409,0.09008768899414941,0.031529345882058836,0.150290439458206,0.030881121401001434,0.09345865407518561,0.04653646461822147,0.03037604522806951,0.09186881386906592,0.11604975509494853,HIP10730.txt
17,0.27822070139020516,0.01175717071415752,0.04819842562617624,0.010762918780465192,0.03811299576880715,0.04884684789937496,0.1078882872026912,0.03351444030630115,0.0827186444830656,0.011670679014039329,0.01990092825674962,0.1594706561468148,0.14893730441115197,HIP08725.txt
18,0.052983560425225465,0.017186033540890856,0.10492294890611337,0.013592218949386099,0.10329850735796248,0.07061187903096175,0.07183413853362082,0.03463073799667941,0.07976656694503607,0.021290709632698513,0.03806798428764572,0.18593861297049927,0.2058761014232802,HIP04455.txt
19,0.22502064526848056,0.004658622466465504,0.0379966244647083,0.0024753092513541642,0.016137977765435216,0.017260707338303177,0.01680092409992586,0.05308067573167891,0.12379715118159902,0.026015810605191026,0.03251378005922617,0.21819221081241924,0.2260495609552128,HIP13515.txt
20,0.17493821494679354,0.014667423011186474,0.033250369183352745,0.010031499049727088,0.046318011598308104,0.03936815296688206,0.13251678966868816,0.030151648181834325,0.10333050223679363,0.04376138019447255,0.03559726647010226,0.15155687383741867,0.18451186865444047,HIP10815.txt
21,0.12559560959652283,0.01483892725248289,0.07608261366234761,0.01387376406869516,0.04886569018052351,0.09762813211440657,0.056437220708727455,0.049422482570135734,0.1283692142786779,0.06733213834001507,0.05452884434990479,0.12629668393782467,0.14072867893973573,HIP10787.txt
22,0.15690976989992325,0.022191660304474947,0.07622976899663195,0.010789165793596251,0.08361241163207307,0.0677694546011344,0.10044993730003196,0.0332854391491149,0.10772031318718081,0.0469736709407185,0.03432208458742363,0.10411747037090584,0.15562885323679063,HIP13935.txt
23,0.2392493168413536,0.008783013520689538,0.08705504689719434,0.008239039118105205,0.08445800382095148,0.056598937566098594,0.12558267203247964,0.029267769528211567,0.0992564093875096,0.04450916406766947,0.02707059665327309,0.08017269468323936,0.10975733588322464,Keck0010_MC1.txt
24,0.23166084332726763,0.021149077911785653,0.09331389619658144,0.021165568340029462,0.1529608359176048,0.10230827075390934,0.21294236407090142,0.017652271210983735,0.016779322868273848,0.013079888414075024,0.024700202758631114,0.04240967214250405,0.04987778608745253,HIP14018.txt
25,0.23898480058689306,0.020566154328375354,0.08296632286207681,0.01258099517903639,0.045214991516571636,0.024131605553037665,0.1120607628384603,0.0363843611147049,0.11444565848688197,0.042289719630144565,0.011519050628767418,0.11499393659707408,0.14386164067797574,HIP03746.txt
