TRBJ2-2P*01,TRBJ2-4*01,TRBJ1-1*01,TRBJ1-3*01,TRBJ2-2*01,TRBJ2-7*01,TRBJ1-6*01,TRBJ1-2*01,TRBJ2-1*01,TRBJ2-5*01,TRBJ2-3*01,TRBJ2-6*01,TRBJ1-5*01,TRBJ1-4*01
0.0,0.0028603063295811037,0.2109245248200775,0.04696438457279941,0.034415943901088764,0.1825059974164975,0.06043550470566525,0.17143384388263516,0.05517623177708064,0.025373685181767854,0.0383834655840561,0.021959771175493633,0.09143753460047979,0.05812880605277727
0.0,0.003449295358233961,0.17118360106435399,0.055780033507440624,0.024834926579284516,0.21927663348773035,0.0668177786537893,0.1608357149896521,0.07332216418645905,0.019414605302059722,0.026313196018527645,0.02325810584409185,0.09520055188725732,0.060313393121119545
0.0,0.009869111779939805,0.14222719955204033,0.03905648491635753,0.05508504234618884,0.14824665780079793,0.05438510534051935,0.13907748302652762,0.10338069573738363,0.07055365017148457,0.08791208791208792,0.020368166864982152,0.0820326170644642,0.04780569748722615
0.0,0.00782422293676313,0.1339764201500536,0.03804930332261522,0.0654876741693462,0.18156484458735261,0.04994640943193998,0.1030010718113612,0.1657020364415863,0.05123258306538049,0.06838156484458735,0.020364415862808145,0.06913183279742766,0.04533762057877813
0.0,0.0032258064516129032,0.16129032258064516,0.04086021505376344,0.03655913978494624,0.14623655913978495,0.07311827956989247,0.17526881720430107,0.08709677419354839,0.03978494623655914,0.054838709677419356,0.015053763440860216,0.0978494623655914,0.06881720430107527
0.0,0.0021377672209026127,0.14584323040380048,0.04156769596199525,0.03618368962787015,0.2804433887569279,0.04861441013460016,0.10783847980997625,0.09612034837688044,0.0227236737925574,0.0332541567695962,0.0330166270783848,0.09746634996041172,0.0547901821060966
0.0,0.004588444610918625,0.15310422324187659,0.04925554827231014,0.03221275400318382,0.22249274276617662,0.05749602022661298,0.1506695383462871,0.073415113774698,0.02874801011330649,0.03520928925929394,0.025657833130442925,0.10712613540593688,0.0600243468489559
0.0,0.010224591453290221,0.13056016778816742,0.033470243817180806,0.05820152058026741,0.20099624224416673,0.03818928602639168,0.1051297736607533,0.14698942584986455,0.055317661452416324,0.07838853447522502,0.023070873022808705,0.07279559556060473,0.04666608406886306
0.0,0.0038349440098174566,0.1595336708084062,0.046786316919772974,0.035741678171498696,0.22718208314158614,0.06918238993710692,0.11811627550237766,0.07915324436263231,0.027918392391471085,0.04509894155545329,0.024236846142046325,0.10308329498389324,0.06013192207393772
0.0,0.00906183368869936,0.16613361762615494,0.04282160625444208,0.05294953802416489,0.1878997867803838,0.03820184790334044,0.1240227434257285,0.13175195451314856,0.04975124378109453,0.06529850746268656,0.02149964463397299,0.07178393745557925,0.03882373845060412
