,TRBV9,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-4,TRBV7-3,TRBV7-2,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-1,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV29-1,TRBV28,TRBV27,TRBV25-1,TRBV24-1,TRBV23-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV11-3,TRBV11-2,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,id
608,0.02807121756999743,0.046955272283585925,0.013517852555869509,0.0028617069098381713,0.008813896737734394,0.0009271448754174158,0.007252600821988184,0.018514802209093243,0.02510515669149756,0.043009889545337784,0.009536347290007706,0.012570639609555612,0.04176566914975597,0.01952623298227588,0.009488183919856152,0.02197855124582584,0.0006783007963010532,0.07126573336758284,0.011165874646801952,0.027119991009504237,0.03433245568969946,0.03823368867197534,0.023724473413819676,0.052072630362188545,0.030989115078345748,0.00925940791163627,0.019614532494220394,0.002135242743385564,0.00624919727716414,0.07522717056254816,0.039979610839969176,0.057567268173645006,0.03071618931415361,0.013666356280503467,0.008982468533264834,0.00803124197277164,0.004635724377087079,0.053762361931672234,0.012546557924479836,0.02593196121243257,0.016050443103005393,0.0074412406884151044,0.008239949910095043,0.0004856473156948369,HIP01393.txt
609,0.029954380786260566,0.05049979873876292,0.015056856299476722,0.0034172480880182475,0.00995823829330471,0.0011111297464108413,0.008071414195625922,0.02485156983764927,0.024608379176170668,0.04362337313833356,0.008687776734200993,0.012251777807594257,0.03596706024419697,0.017824198309405608,0.006805145578961492,0.021279182879377433,0.0008847108546893868,0.06410170401180733,0.01262494968469073,0.03045753387897491,0.03057493626727492,0.03431084798067892,0.022738326848249026,0.08193009526365222,0.05349355964041325,0.007463437541929425,0.012184690728565678,0.0019455252918287938,0.005127968603247015,0.06821917348718637,0.04697353414732323,0.056114148664967126,0.023174392861934793,0.011736045887562056,0.007023178585804374,0.0056059640413256406,0.004683516704682678,0.05024822219240574,0.0053460016100898965,0.020524453240305916,0.01879276801288072,0.003949751777807594,0.004939286193479136,0.0008637461424929559,HIP13754.txt
610,0.04096900605628785,0.040920255751598446,0.014726342039637748,0.004848780304876905,0.011066319164494779,0.00022125138282114262,0.024450152813455084,0.03768773554834718,0.023126394539965876,0.04062025387658673,0.009176307351920949,0.02547765923537022,0.023092644329027058,0.018877617985112408,0.0066000412502578145,0.022901393133707086,0.0012637578984868655,0.05644910280689254,0.00655129094556841,0.020745129657060355,0.03444771529822061,0.03390396189976187,0.024341402133763335,0.07254420340127125,0.03333395833723961,0.009146307164419777,0.022368889805561284,0.0024525153282208014,0.005602535015843849,0.07692423077644235,0.03330395814973844,0.06054787842424015,0.025631410196313726,0.014726342039637748,0.009363808523803275,0.0070687941799636245,0.00295501846886543,0.05232407702548141,0.007331295820598879,0.018900118125738285,0.012843830273939212,0.0035962724767029794,0.005666285414283839,0.0009037556484728029,HIP01805.txt
611,0.04030953870392252,0.040068580431407985,0.01524987836241051,0.00400824818702069,0.012126688445587452,0.0002548597113134543,0.019730775468594332,0.03446166678251199,0.02500405458631635,0.03984615741062533,0.008493779106137486,0.028877922198280854,0.03903524014735525,0.018688167558675656,0.008350130905215357,0.02695952364403049,0.0009870021547230138,0.0597530177706726,0.015449132318528302,0.02427191214290679,0.034202173258265564,0.03427631426519311,0.028043835870345913,0.02279835963022173,0.03052755960241885,0.010648502119969417,0.014429693473274484,0.0015893978360093603,0.0051018280392020575,0.07046639327170362,0.035203076851787495,0.059966173165589304,0.026579550983526795,0.013896804985982716,0.011005305715808253,0.007571650332476078,0.007719932346331179,0.05438706239429114,0.017362897059845693,0.02265007761636663,0.01882254813373184,0.004652348184703783,0.005602279835963022,0.0005699589907555432,HIP13749.txt
612,0.022373873442649853,0.037964469851342296,0.01572735602631255,0.004636151037321699,0.0115288357653752,0.0010256971321508186,0.005429356819518332,0.02829556488560058,0.022674744601414096,0.05257039701316995,0.01122796460661096,0.013799045417869011,0.04498023823525389,0.01750523105537397,0.001736847143775386,0.016397478152651086,0.0005060105851944038,0.06784644630133614,0.01857195607281082,0.02199094651331355,0.07447928775591144,0.027953665841550308,0.05377388164822691,0.05520985763323806,0.02215505805445768,0.012568208859288029,0.024069692701139206,0.0017505231055373969,0.003350610631692674,0.09478809097249764,0.04098685740074671,0.026599745627111225,0.01978911666962979,0.016370126229127063,0.0091492184187853,0.008342336674826657,0.0016411154114413097,0.0444879036118215,0.0031728231287865317,0.013935805035489121,0.01794286183175832,0.00480026257846583,0.004540419304987623,0.0013539202144390804,HIP10545.txt
613,0.03265830308433633,0.04540533655989301,0.013681037593665754,0.0032584007302214014,0.010443864229765013,0.000997686217071048,0.012651510327113716,0.03743446050648496,0.024273493387675392,0.04305971258146002,0.007440191895391539,0.025992910059648898,0.02744698465261415,0.01787344244199622,0.007758602390201447,0.02414612918975143,0.0010189135833917086,0.05450126302829608,0.006092254134029591,0.019879428559298647,0.032191301025281796,0.032170073658961136,0.02747882570209514,0.054681695642021695,0.05001167505147636,0.01358551444522278,0.015156339552951665,0.0022607145131503534,0.006516801460442803,0.08875161858668194,0.03313591882655119,0.06199452333948927,0.026873845761956314,0.01243923666390711,0.010496932645566665,0.006718461440489079,0.004786771105308964,0.047124753231866524,0.008437878112462587,0.022203825171410983,0.01391453862319302,0.005625252074975058,0.006920121420535354,0.0005094567916958543,HIP00734.txt
614,0.03257511934849761,0.048613061249960995,0.01538269524790165,0.00424350213735218,0.011981653093700272,0.00015601110799088894,0.02146712845954632,0.04227901026553091,0.025741832818496676,0.04237261693032544,0.008143779837124403,0.02596024836968392,0.034915285968360944,0.018471715186121253,0.010608755343380448,0.019938219601235607,0.0012168866423289339,0.06025148990608131,0.006833286530000936,0.023807295079409655,0.034416050422790105,0.028737246091921746,0.024930575056944054,0.04358950357265437,0.03201347935973041,0.007800555399544448,0.017254828543792317,0.00268339105744329,0.0063652532060282695,0.0866797715997379,0.038066710349776905,0.05753689662703985,0.03741146369621517,0.012730506412056539,0.010359137570595027,0.0060532309900464916,0.0039938843645667575,0.041904583606352776,0.008081375393928048,0.024244126181784145,0.009766295360229648,0.004742737682923024,0.005210771006895691,0.00046803332397266686,HIP13505.txt
615,0.041118604329822464,0.038680460528368495,0.01289497260988362,0.003935797032328806,0.011900994423916096,0.0002941818846361282,0.02015145909757478,0.05069288748434373,0.025415531912048532,0.04599043463144804,0.007341175212056109,0.04702452852895686,0.03062165980985153,0.02455973006583434,0.008562475763424277,0.028517813604574973,0.0009716916795556962,0.061189832004314666,0.01700906169350705,0.020369866860410694,0.0009895208846851585,0.04026725978489064,0.024907399565858857,0.032146056848420555,0.02591029235439111,0.010309737866111585,0.0132470994111905,0.0013015319744507491,0.0036772735579516025,0.08851308886521567,0.03888549638735731,0.04895899728550352,0.0260930417069681,0.01293508832142491,0.009213241750649652,0.0069400180966432065,0.0057811197632281555,0.055689522221875544,0.0069043596863842815,0.021399503456637145,0.0232180823798423,0.002469344910430531,0.0024515157053010684,0.0005482480577309663,HIP13511.txt
616,0.039453344305413494,0.03789982080644789,0.016458120236566252,0.0036453967252955155,0.00949802733278473,0.00017688633899113262,0.007590731155836865,0.017150284171748943,0.024656417513285702,0.04201435086558945,0.009844109300376075,0.015135318049328217,0.03748452244533827,0.025986910410914655,0.005783414213970945,0.024010397840448523,0.0009844109300376075,0.044675336660847366,0.013097279795734731,0.0244103147807763,0.0458366339298761,0.03405446561098849,0.04028394102763272,0.049835803333153884,0.0360232874710637,0.01168987979419659,0.016188945372884095,0.0017765541003022449,0.004106839348750644,0.09494951048628361,0.04679797272874096,0.04436770824521061,0.025340890738077475,0.017588654664031318,0.009913325693894345,0.006629392356972013,0.002853253555030878,0.0495973913110354,0.011459158482469025,0.01828081859921401,0.017450221876994777,0.007713782522091566,0.006452506017980881,0.0008536688533919879,HIP13900.txt
617,0.031216687747565676,0.05525353731319125,0.012951456894378915,0.00340839983258606,0.009388129796675308,0.0011816094399263748,0.009328008768420736,0.024055348343550054,0.020704757191978004,0.03526098307130585,0.008271266079484625,0.011226445852920841,0.03448865909295867,0.019002869622925536,0.005919608935834676,0.022950046362562173,0.0008416943955639931,0.06741648379853905,0.010299194609456113,0.025498253021659756,0.021336027988651,0.03667845192976939,0.01925260312490606,0.050959508487470544,0.04377273326380876,0.0113281891315055,0.025190710838665222,0.0022175410036974433,0.006772865067601472,0.10102182624560364,0.0411181586316454,0.041437262550842735,0.024538628916827183,0.015192121370481962,0.010627547917615693,0.006960165194086865,0.0055773815442317345,0.05510092239531426,0.01788138121125373,0.024013726093219966,0.015423356094538005,0.006187841215739685,0.008035406660947462,0.0007122029500926095,HIP02855.txt
