,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV3,TRAV20
0,HIP02873.txt,6786,1.0,8864,2994,661,2019,17.0,23,3623,8217,,46.0,32.0,66.0,5397,9385,1031,6162,6278,1420.0,41.0,3394,1172,5492,154,,13610,2685.0,2660,3880,8243,7626,2.0,4273,7644,6733,,1814,2222,365,,762,16287,9460,10186,6688,,173.0,2361,1513,1064,992,9951,,106.0,40.0,818,3273,665.0,3976,918,937,109,,
0,HIP14060.txt,4163,,4694,1681,508,1259,16.0,74,927,6038,,41.0,29.0,62.0,3207,5761,839,6889,3485,858.0,40.0,3032,689,2837,125,,7047,3776.0,1432,3036,3906,3269,2.0,4039,5175,4673,,1429,2222,187,,407,10261,4143,5295,2912,,122.0,1725,1077,868,607,6103,,75.0,36.0,587,1932,227.0,1993,691,772,82,,
0,HIP14136.txt,6275,,8442,3533,683,2419,37.0,207,171,5587,,37.0,28.0,86.0,4365,7393,1556,2413,5964,1302.0,48.0,4275,1681,5096,144,,15021,3.0,2169,3691,4966,7561,2.0,4994,14074,9767,,1840,4470,382,2.0,895,16253,8682,9822,5472,,172.0,3194,2106,1340,1029,8302,,98.0,56.0,1269,4082,628.0,3676,1028,1162,109,,
0,HIP05552.txt,11217,,8150,2897,892,2385,37.0,36,4051,7996,,59.0,39.0,103.0,5200,10019,1181,6055,7020,1070.0,65.0,4730,1487,4715,255,,17499,3288.0,5679,6186,9398,7060,4.0,4315,15414,7262,,2006,3940,429,,423,27772,7578,12750,7564,,124.0,3277,1899,2031,998,9503,,124.0,46.0,1605,3615,965.0,3080,400,422,167,,
0,HIP14114.txt,2596,,3650,1278,365,882,19.0,20,1221,3355,1.0,25.0,15.0,42.0,2169,3817,459,2882,2896,676.0,32.0,881,491,1333,97,,5345,1178.0,1496,896,3314,2880,1.0,2413,6273,2916,,633,1722,149,1.0,361,5820,3755,4136,2339,,81.0,742,658,483,174,4506,,60.0,30.0,411,1388,317.0,1434,425,454,58,,
0,HIP13274.txt,11804,,15777,4579,1177,3133,51.0,326,2523,7453,,89.0,40.0,137.0,7281,12567,2271,3878,10187,1876.0,86.0,7378,2443,7414,221,,26384,9.0,4865,10354,10621,9076,5.0,8390,12578,13128,,2366,3869,622,,1562,26320,12109,14045,9347,,295.0,5224,2611,2843,1472,12106,,208.0,94.0,1884,5778,1062.0,6051,1372,1302,174,,
0,HIP13284.txt,4315,,3914,1229,350,1159,19.0,62,1042,3608,,26.0,21.0,41.0,2523,5159,884,2809,3412,557.0,30.0,2184,681,2537,68,,6880,1298.0,1491,1971,5144,3170,,2976,1259,4035,,1326,1037,174,,218,8197,3905,6376,3025,,67.0,1291,1330,958,473,5102,,70.0,22.0,764,2055,382.0,1512,446,707,67,,
0,HIP03814.txt,16246,,14935,4582,1302,3625,75.0,72,6543,13110,1.0,85.0,73.0,131.0,7104,13122,2771,13657,7330,1626.0,94.0,6724,2334,7767,364,,20311,8293.0,4653,4854,9440,9192,1.0,8413,19421,16553,,3610,6344,704,3.0,1682,25063,9282,14532,7168,,274.0,4682,3158,2815,996,13237,,215.0,93.0,2398,5309,1358.0,5775,732,863,178,,
0,HIP13966.txt,7695,,8983,2933,663,2087,17.0,41,3761,9207,,37.0,8.0,74.0,5012,8021,1141,5874,6420,1341.0,44.0,4342,1216,4905,143,,13633,3613.0,3549,5544,8253,7347,2.0,4842,8705,8473,,1950,3643,282,1.0,743,17007,8519,10068,5484,,180.0,2577,1816,1180,1254,9922,,124.0,45.0,659,4415,860.0,4301,1207,1070,92,,
0,HIP08230.txt,5093,,8607,2719,630,2102,23.0,61,1230,5005,2.0,43.0,34.0,34.0,5515,10952,1310,6676,6697,1136.0,39.0,4270,848,2790,83,,14179,3162.0,2813,2667,10016,7873,1.0,6612,2901,7243,,2250,2300,213,,403,12918,7974,8648,4352,2.0,84.0,2459,1508,1407,1147,10522,,67.0,31.0,1954,2667,429.0,2587,769,925,77,,
0,HIP00594.txt,4995,,7254,2513,498,1787,38.0,168,1203,2966,,43.0,26.0,81.0,3465,5652,1481,2121,7124,919.0,43.0,2950,1027,3983,133,,11816,5.0,1751,4847,6079,5663,3.0,3450,9010,7562,,1390,2757,325,,749,11032,6716,6676,3195,,151.0,2272,1625,1363,376,7206,,120.0,51.0,606,2790,425.0,2839,1251,1117,132,,
0,HIP10389.txt,7037,,9700,3088,700,2017,66.0,206,2038,8270,,42.0,35.0,90.0,4847,7575,1306,5540,7412,1383.0,66.0,4228,2185,6242,170,,15064,2840.0,3441,5332,2916,9137,2.0,3885,6559,2423,,1915,912,425,1.0,1031,16165,8733,10556,5075,,174.0,2936,1649,1160,461,8229,,155.0,59.0,1602,4386,920.0,3584,546,967,112,,
0,HIP09365.txt,10370,,9755,3206,887,2302,53.0,56,4005,13030,1.0,57.0,59.0,93.0,6470,11494,1545,11834,6493,1665.0,76.0,4959,1374,6174,277,,14250,7121.0,3718,4905,294,6967,3.0,6461,15204,8693,,2787,2702,562,1.0,1388,22909,9341,14020,7291,,173.0,2925,1986,1810,1244,11996,,185.0,65.0,1137,3489,806.0,4944,536,564,121,,
0,HIP17837.txt,6067,,10014,2812,662,2003,23.0,110,1841,3651,,43.0,32.0,49.0,5580,10401,1501,2779,8759,1162.0,56.0,4224,1317,4402,116,,16518,10.0,2275,8508,4749,7343,4.0,6959,18352,11694,,2479,6055,351,2.0,952,16393,8278,11974,4603,,129.0,2614,1918,1285,690,7323,,117.0,62.0,1317,4557,548.0,2467,1310,1772,153,,
