,TRBV9,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-1,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV29-1,TRBV28,TRBV27,TRBV25-1,TRBV24-1,TRBV23-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,id
148,0.033460656990068754,0.029844665138782787,0.007028265851795263,0.007079195314489432,0.009472880061115355,0.0035141329258976317,0.007792207792207792,0.03325693913929208,0.027043544690603515,0.002546473134708429,0.003004838298955946,0.005755029284441049,0.019862490450725745,0.02796027501909855,0.03132161955691368,0.04339190221543163,0.014463967405143876,0.0038197097020626434,0.003106697224344283,0.014820473644003056,0.006773618538324421,0.013852813852813853,0.011255411255411256,0.04461420932009167,0.013801884390119683,0.016297428062133943,0.023121976063152534,0.05362872421695951,0.016348357524828112,0.040539852304558185,0.04471606824548001,0.012477718360071301,0.026330532212885154,0.021288515406162466,0.048586707410236823,0.05255920550038197,0.015584415584415584,0.030303030303030304,0.0106951871657754,0.011713776419658773,0.017010440539852303,0.004685510567863509,0.011713776419658773,0.02923351158645276,0.007537560478736949,0.0030557677616501145,0.013903743315508022,0.013750954927425516,0.0038197097020626434,0.014973262032085561,0.00142602495543672,0.029029793735676088,0.0068245480010185895,HIP00813.txt
149,0.03174038675261169,0.02996221382529451,0.007757279395421205,0.007201600355634586,0.008824183151811514,0.0033118470771282505,0.005023338519671038,0.037474994443209605,0.025027783951989332,0.002311624805512336,0.0025783507446099133,0.0057346076905979105,0.02098244054234274,0.021538119582129363,0.028117359413202935,0.03611913758613025,0.012002667259390976,0.004289842187152701,0.0025561235830184486,0.015047788397421649,0.00675705712380529,0.01393643031784841,0.010891309179817737,0.0394309846632585,0.012647254945543454,0.013736385863525227,0.024627695043342966,0.05352300511224717,0.017648366303623028,0.006712602800622361,0.0382973994220938,0.013358524116470327,0.04849966659257613,0.02520560124472105,0.06657034896643699,0.06090242276061347,0.014603245165592353,0.032785063347410534,0.01555901311402534,0.011980440097799512,0.017737274949988887,0.004512113803067349,0.01049122027117137,0.03536341409202045,0.007023783062902867,0.003178484107579462,0.017270504556568127,0.01573683040675706,0.004623249611024672,0.014647699488775283,0.002200488997555012,0.025250055567903978,0.006690375639030896,HIP02962.txt
150,0.02866729165638723,0.03016397756615845,0.007384746961398661,0.0068748869262018715,0.009013009654446473,0.003569020246377527,0.017384582490419565,0.022795677702669364,0.017779312840249337,0.004144668673212611,0.00294403052581372,0.0057564842683508494,0.023864739066791665,0.0247857765497278,0.03105212085327544,0.026808769592605385,0.01707208763013766,0.003766385421292413,0.0029275834279041462,0.015706978503643033,0.00661173335964869,0.014605022943701584,0.009950494235292182,0.04615055673426424,0.007812371507047581,0.01279584217364846,0.0197529645893982,0.034736270785019986,0.021512804065722604,0.0301968717619776,0.050739297051035345,0.014522787454153715,0.04034473117218467,0.023831844870972518,0.06962056545122614,0.0603937435239552,0.014489893258334567,0.03167711057383925,0.013486620285850561,0.010098518116478347,0.018141148994259962,0.004177562869031759,0.011085343991052779,0.02840413808983405,0.008848538675350735,0.003782832519201987,0.01847009095245144,0.01718721731550468,0.004358480946037072,0.015476719132908998,0.004062433183664742,0.02261475962566405,0.007598559234223121,HIP08598.txt
151,0.03241163168961003,0.035148966556908794,0.00823184036180426,0.008073154282540565,0.009957551473796962,0.0031340500654580077,0.0065656365295354464,0.03620026183203078,0.010493116991311937,0.004443210219383505,0.0025786487880350697,0.005514341254413456,0.025290593882651643,0.029674296822311264,0.02935692466378387,0.011127861308366724,0.02544927996191534,0.004463045979291467,0.002657991827666918,0.01622565160471298,0.0067243226087991435,0.01529337088903876,0.012099813543856865,0.060697425318363946,0.007002023247510612,0.01969690958860634,0.026738604355932876,0.0248938786844924,0.017157932320387193,0.004740746618002936,0.03389931368270718,0.013151108818978855,0.0436188360376086,0.024636013805688896,0.06222477883127703,0.055678978061649544,0.020589518784464633,0.03378029912325941,0.016404173443884635,0.009402150196374023,0.018328242154956955,0.005732534613401039,0.011722934105605586,0.03703336374816519,0.00850954100051573,0.003907644701868529,0.0191415083111834,0.019915102947593924,0.004086166541040187,0.01622565160471298,0.0065656365295354464,0.024695521085412783,0.008707898599595351,HIP14181.txt
152,0.035376038795515305,0.03261973348807328,0.00862122562327731,0.008766294323668995,0.01168839243155866,0.003854682610407643,0.00739850371997596,0.03554183159596295,0.018112863448904733,0.0030257186081694403,0.0028806499077777548,0.007211986819472364,0.022008994259424285,0.029407497979400246,0.028702878577497773,0.0237083704640126,0.015750316042525855,0.004269164611526745,0.0025905125069943837,0.017304623546722485,0.005989264916171015,0.017387519946946303,0.01320125173564338,0.04223571591403643,0.004828715313037532,0.018050691148736867,0.01958427455287754,0.03363521439081508,0.019273413052038214,0.022713613661326758,0.04163471701241374,0.015190765341015067,0.04675356972623464,0.024786023666922265,0.05605869065135846,0.0523076285412306,0.016703624645099786,0.03324145648975193,0.016579280044764055,0.012019978032453941,0.01879675875075125,0.004849439413093486,0.01156404783122293,0.038277412803349016,0.009595258325907198,0.003481648809400452,0.0132841481358672,0.013657181936874391,0.004144820011191014,0.013885147037489897,0.004061923610967194,0.025117609267817545,0.008268915922326073,HIP13183.txt
153,0.030924150362853724,0.028717502447514413,0.004180199219903343,0.008158381377134776,0.010815682739972961,0.003978182157231434,0.006076051654208948,0.03546176438594583,0.019331478920296498,0.0035275287097325603,0.003341051421112337,0.007210455159981974,0.024583922549766126,0.03160790042112788,0.03120386629578406,0.030893070814750352,0.020092927848829076,0.002315426333701108,0.003123494584388743,0.020559121070379636,0.005438920918089851,0.016410001398579666,0.013208807943932496,0.05316156703081537,0.0047240913117123275,0.020263865363397617,0.023340740625631302,0.03367469037000202,0.01898960389115942,0.03341051421112337,0.03880281580705817,0.013379745458501034,0.0319031561281099,0.02048142220012121,0.044630231076440145,0.05292847042004009,0.01841463225124707,0.028655343351307674,0.013395285232552718,0.010737983869714534,0.017761961741076283,0.004428835604730307,0.011452813476092057,0.039626423831797486,0.008764432565150502,0.0036984662243010986,0.015788410436512253,0.015648552470047084,0.003931562835076378,0.015881649080822364,0.003869403738869637,0.028282388774067226,0.00881105188730556,HIP00898.txt
154,0.03132131446827933,0.03337517115472387,0.007359653126426289,0.008301004107713374,0.00864331355545413,0.002624372432679142,0.006361250570515746,0.03514376996805112,0.009242355089000457,0.00290963030579644,0.0032234139662254678,0.00573368324965769,0.022164536741214057,0.025872889091738932,0.030807850296668188,0.009156777727065267,0.020880876312186217,0.00427886809675947,0.002510269283432223,0.01623117298037426,0.005362848014605203,0.013806481058877225,0.012151985394796897,0.05223071656777727,0.007388178913738019,0.01851323596531264,0.02447512551346417,0.02339114559561844,0.018855545413053402,0.007616385212231858,0.03522934732998631,0.01446257416704701,0.05568233683249658,0.025445002282062985,0.07858854404381561,0.06478206298493838,0.018627339114559563,0.03728320401643085,0.014861935189411228,0.011524418073938841,0.020994979461433135,0.005020538566864446,0.01032633500684619,0.03614217252396166,0.008814468279324509,0.0037939297124600637,0.01469078046554085,0.015118667275216796,0.003908032861706983,0.018285029666818803,0.003480146052031036,0.024104290278411683,0.008900045641259699,HIP01850.txt
155,0.03253634774848473,0.03476741159409512,0.00617260997285539,0.007697170267355818,0.008143383036477894,0.0022682482430372215,0.005243000037184397,0.03539954635035139,0.017960063957163576,0.0025285390250250994,0.002565723422451939,0.005428922024318596,0.023872383148031088,0.03197858178708214,0.030082177518313314,0.025359759045104673,0.019410255456810323,0.004164652511806046,0.002974751794147176,0.016881716431785224,0.004387758896367084,0.013312014278808612,0.011601531997173986,0.04811661027033057,0.009296099356709924,0.01866656750827353,0.022794035622652736,0.027590822890715055,0.019187149072249284,0.026438106570483025,0.04008478042613319,0.015505893726992154,0.047596028706354813,0.025211021455397314,0.061093964972297625,0.0595694046777972,0.015840553303833712,0.03588294351690031,0.015319971739857956,0.010783475253783512,0.01952180864909084,0.004276205704086565,0.011861822779161865,0.030454021492581713,0.008254936228758412,0.0030119361915740155,0.014948127765589559,0.011973375971442383,0.0030491205890008552,0.014055702227345406,0.0017104822816346261,0.025471312237385194,0.007697170267355818,HIP09775.txt
156,0.03968828661080653,0.02841281335126375,0.0038274542257163546,0.0087928002482673,0.011999586221164787,0.0020688941760628942,0.007103203337815937,0.0303782628185235,0.020102755077411123,0.0020688941760628942,0.004655011896141512,0.0066894245026033585,0.02686114271921658,0.04141236509085894,0.022792317506292886,0.04565359815178787,0.020068273507810076,0.0013792627840419295,0.003586083238509017,0.019757939381400642,0.004930864452949898,0.013344367435605669,0.014137443536429779,0.04958449708630737,0.014827074928450742,0.02034412606461846,0.027171476845626014,0.026757698010413434,0.02917140788248681,0.01824075031895452,0.02979207613530568,0.013827109410020345,0.03334367780421365,0.017137340091720975,0.016102893003689528,0.09051412020275162,0.009654839488293506,0.03189545188096962,0.024792248543153685,0.01175821523395745,0.020068273507810076,0.005034309161753043,0.00899968966587359,0.037033205751525806,0.005930829971380297,0.002861970276887004,0.01548222475087066,0.012585772904382607,0.003620564808110065,0.01175821523395745,0.001862004758456605,0.022206130823075067,0.007930761008241095,HIP04464.txt
157,0.029258702440152655,0.035734936972360354,0.00852483933321218,0.008260503229856763,0.009499578714335277,0.0027094450593930183,0.005749310247980307,0.03330634902278247,0.0239389383601249,0.0039485205438715325,0.002825092104611013,0.00548497414462489,0.02169208148160386,0.02301376199838094,0.028746551239901535,0.03685836541162087,0.012423796857704571,0.004080688595549241,0.0022798988914404664,0.014191544548893919,0.005352806092947182,0.012671611954600275,0.009763914817690693,0.033917626261791865,0.010788217218192932,0.013861124419699647,0.01569495613672785,0.048390027920500914,0.01880090535115399,0.043598936047184,0.04611012902906045,0.011961208676832593,0.03299244990004791,0.022187711675395266,0.06572056369674041,0.0618050851657883,0.013778519387401081,0.030316046853574318,0.013514183284045665,0.012423796857704571,0.01776008194419204,0.003832873498653538,0.011283847411984339,0.02765616481356044,0.008640486378430174,0.0038493945051132515,0.019973896809793654,0.01804093905400717,0.004278940673065803,0.013745477374481653,0.0043450246989046575,0.024385005534537162,0.006030167357795437,HIP04498.txt
