,TRBV6-4*01,TRBV12-4*01,TRBV6-6*01,TRBV30*01,TRBV3-1*01,TRBV6-3*01,TRBV10-3*01,TRBV5-8*01,TRBV7-1*01,TRBV18*01,TRBV6-1*01,TRBV7-2*01,TRBV16*01,TRBV4-3*01,TRBV27*01,TRBV7-5*01,TRBV15*01,TRBV28*01,TRBV5-4*01,TRBV5-3*01,TRBV5-5*01,TRBV13*01,TRBV19*01,TRBV9*01,TRBV7-3*01,TRBV24-1*01,TRBV4-2*01,TRBV6-9*01,TRBV10-2*01,TRBV11-2*01,TRBV6-8*01,TRBV7-8*01,TRBV2*01,TRBV6-5*01,TRBV5-1*01,TRBV6-7*01,TRBV11-1*01,TRBV7-7*01,TRBV7-4*01,TRBV7-6*01,TRBV6-2*01,TRBV4-1*01,TRBV29-1*01,TRBV12-3*01,TRBV12-2*01,TRBV12-1*01,TRBV12-5*01,TRBV3-2*01,TRBV23-1*01,TRBV11-3*01,TRBV5-7*01,TRBV20-1*01,TRBV10-1*01,TRBV7-9*01,TRBV21-1*01,TRBV5-6*01,TRBV14*01,TRBV25-1*01
147,0.009164197615930545,0.00048232619031213393,0.01729483910976366,0.022393715978777647,0.008612967684145248,0.0,0.022118101012885,0.005684558671535864,0.0,0.02690691104526976,0.030662164955557087,0.030110935023771792,0.0,0.013298422104320265,0.04892165644594502,0.000723489285468201,0.0009991042513608488,0.04340935712809205,0.019740921932060913,0.0026872459174533177,0.009887686901398745,0.00692482601805278,0.0505753462413009,0.04392613518914077,0.015296630607041962,0.016433542341349135,0.013780748294632399,0.001068007992834011,0.007234892854682009,0.024977606284021223,0.0006890374147316199,0.014607593192310343,0.03210914352649349,0.04010197753738028,0.05539860814442224,0.0008268448976779439,0.0015503341831461447,0.0037552539102873287,0.0017570454075656308,0.011920347274857026,0.026321229242747882,0.02425411699855302,0.02077447805415834,0.042100186040101975,0.0021704678564046028,0.00103355612209743,0.006959277888789361,0.0019982085027216976,0.006270240474057742,0.009956590642871908,0.0007579411562047819,0.08044511816991663,0.010886791152759595,0.04775029284090126,0.02208364914214842,0.019499758836904843,0.012092606628539929,0.008612967684145248
148,0.01148172371193954,0.00021800741225201656,0.019111983140760118,0.016859239880822614,0.010755032337766151,0.0,0.010319017513262118,0.0066855606423951745,0.0,0.038296635418937575,0.03117505995203837,0.03597122302158273,0.0,0.016641232468570598,0.029649008066274254,0.0013080444735120995,0.0018893975728508103,0.043601482450403316,0.020274689339437543,0.002688758084441538,0.012208415086112928,0.006394884092725819,0.044909526923915415,0.027396264806336747,0.017367923842743986,0.01954799796526415,0.01467916575830245,0.0011627061986774216,0.006031538405639125,0.022527432599375046,0.000508683961921372,0.019766005377516167,0.04200276142722186,0.03996802557953637,0.060242714918973914,0.0013807136109294383,0.003996802557953637,0.004723493932127025,0.0015987210231814548,0.013589128697042365,0.027541603081171425,0.02775961049342344,0.017585931254996003,0.045418210885836786,0.002979434634110893,0.0010900370612600828,0.005377516168883076,0.0032701111837802484,0.009010973039750018,0.009083642177167357,0.0010900370612600828,0.0749945498146937,0.008356950802993968,0.05072305791730252,0.019475328827846812,0.019838674514933506,0.0127170990480343,0.006758229779812513
149,0.023484387231451683,0.0013046881795250936,0.011655214403757502,0.028964077585457076,0.02574584674262851,8.697921196833956e-05,0.015047403670522746,0.004175002174480299,0.0,0.021396886144211532,0.03853179090197443,0.03774897799425937,8.697921196833956e-05,8.697921196833956e-05,0.04549012785944159,0.0015656258154301123,0.0016526050273984517,0.06610420109593806,0.019222405845003045,0.0031312516308602246,0.007915108289118901,0.004870835870227016,0.05123075584935201,0.03748804035835435,0.02818126467774202,0.02009219796468644,0.013481777855092632,0.00043489605984169783,0.005914586413847091,0.023223449595546664,0.000608854483778377,0.02061407323649648,0.02383230407932504,0.03861877011394277,0.05323127772462381,0.0008697921196833957,0.003044272418891885,0.004435939810385318,0.0015656258154301123,0.01026354701226407,0.008958858832738975,0.029572932069235454,0.018439592937287988,0.03887970774984779,0.0025223971470818476,0.0009567713316517352,0.005218752718100374,0.0,0.007306253805340524,0.011568235191789162,0.00043489605984169783,0.07975993737496738,0.013394798643124293,0.034530747151430806,0.016613029485952856,0.013307819431155953,0.011655214403757502,0.011481255979820823
150,0.01360195046836905,0.0010693357286453654,0.018178707386971214,0.031181829847298857,0.01886308225330425,4.277342914581462e-05,0.013045895889473458,0.006929295521621968,0.0,0.026562299499550877,0.036186321057359166,0.029684759827195345,0.0,0.015270114205055819,0.03990760939304504,0.0026091791778946917,0.0014115231618118825,0.03879550023525386,0.018991402540741692,0.0032080071859360965,0.010992771290474357,0.006501561230163822,0.0529535052825185,0.039479875101586896,0.01351640361007742,0.018478121390991916,0.006159373796997305,0.0014542965909576972,0.006672654946747081,0.021087300568886608,0.0009410154412079217,0.014927926771889302,0.03019804097694512,0.04683690491466701,0.05453612216091364,0.0014970700201035116,0.0026091791778946917,0.0030796868984986525,0.0017537105949783994,0.011463279011078319,0.03126737670559049,0.020574019419136832,0.019846871123657985,0.04983104495487403,0.0014970700201035116,0.00111210915779118,0.00851191240001711,0.004362889772873091,0.007570896958809188,0.00898242012062107,0.00042773429145814617,0.06548612002224219,0.010864451003036913,0.049488857521707515,0.01869198853672099,0.017708199666367254,0.012703708456306943,0.010393943282432953
151,0.011612903225806452,0.0018637992831541219,0.015197132616487455,0.027383512544802868,0.02021505376344086,0.0,0.016774193548387096,0.005017921146953405,0.0,0.0225089605734767,0.03125448028673835,0.028100358422939068,0.0,0.01060931899641577,0.04057347670250896,0.002150537634408602,0.0017204301075268817,0.04401433691756272,0.017921146953405017,0.0015770609318996416,0.00989247311827957,0.0064516129032258064,0.04272401433691756,0.034408602150537634,0.016487455197132617,0.017777777777777778,0.015197132616487455,0.0012903225806451613,0.01003584229390681,0.026810035842293908,0.00043010752688172043,0.017060931899641578,0.03741935483870968,0.0428673835125448,0.05189964157706093,0.0027240143369175627,0.0034408602150537634,0.005591397849462366,0.0034408602150537634,0.0174910394265233,0.023369175627240144,0.02050179211469534,0.019068100358422938,0.040716845878136204,0.003010752688172043,0.0018637992831541219,0.006738351254480287,0.004731182795698925,0.008028673835125448,0.00874551971326165,0.0,0.0939068100358423,0.012903225806451613,0.038279569892473116,0.02121863799283154,0.015197132616487455,0.011899641577060933,0.007885304659498209
152,0.011180679785330949,0.0012298747763864043,0.015317531305903399,0.024150268336314847,0.03220035778175313,0.0,0.017889087656529516,0.006596601073345259,0.0,0.02370304114490161,0.03577817531305903,0.022473166368515207,0.0,0.0,0.04103309481216458,0.0005590339892665474,0.002795169946332737,0.04349284436493739,0.023479427549194992,0.0039132379248658315,0.008273703041144902,0.009615384615384616,0.04394007155635063,0.026945438282647585,0.020907871198568875,0.01688282647584973,0.011851520572450805,0.0004472271914132379,0.007714669051878354,0.025044722719141325,0.0014534883720930232,0.016659212880143114,0.038461538461538464,0.03924418604651163,0.06932021466905187,0.0014534883720930232,0.0033542039355992843,0.005031305903398927,0.0015652951699463328,0.012522361359570662,0.011851520572450805,0.028734347048300538,0.01911896243291592,0.040697674418604654,0.0031305903398926656,0.0010062611806797854,0.004919499105545617,0.0,0.007714669051878354,0.011404293381037567,0.0003354203935599284,0.0873211091234347,0.01084525939177102,0.04371645796064401,0.02157871198568873,0.021243291592128802,0.013975849731663685,0.005925760286225402
153,0.01800988609499248,0.0007307113690092413,0.018267784225231034,0.02918547173866323,0.0028368794326241137,0.0,0.013883516011175585,0.0008596604341285192,0.0,0.025703846980442726,0.03473028153879218,0.04465935955297658,0.0,0.02407049215559854,0.0346013324736729,0.0010315925209542231,0.0013754566946056308,0.063571889103804,0.02321083172147002,0.0036535568450462067,0.011089619600257897,0.0051579626047711154,0.042295293359123146,0.03799699118848055,0.02415645819901139,0.01684934450891898,0.014442295293359123,0.00047281323877068556,0.00245003223726628,0.018869546529120998,0.00047281323877068556,0.01117558564367075,0.03769611003653557,0.04143563292499463,0.050805931656995484,0.0018912529550827422,0.0062755211691381905,0.004384268214055448,0.001074575542660649,0.012937889533634214,0.026348592306039115,0.024973135611433484,0.01684934450891898,0.04367075005372878,0.0021061680636148723,0.0014184397163120568,0.007736943907156673,0.0013754566946056308,0.0062755211691381905,0.007908875993982377,0.0007307113690092413,0.07784225231033742,0.007865892972275952,0.03980227810015044,0.013969482054588438,0.0190414786159467,0.011949280034386417,0.007822909950569525
154,0.017614552152889706,0.0005180750633202855,0.01548468800368409,0.013009440478931614,0.020550310845037993,0.0,0.01830531890398342,0.0052958784250518075,0.0,0.024810039143449227,0.027227722772277228,0.038049735206078746,0.0,0.017096477089569424,0.039316140916417226,0.0008634584388671425,0.002014736357356666,0.06947962238084274,0.021759152659451993,0.00345383375546857,0.010246373474556758,0.00391434492286438,0.048296108680635504,0.035632051577250745,0.01830531890398342,0.01985954409394428,0.02118351370020723,0.0008058945429426663,0.005065622841353903,0.019801980198019802,0.0009210223347916187,0.011512779184895234,0.028781947962238083,0.03419295417913885,0.06142067695141607,0.0017844807736587612,0.0028781947962238084,0.004259728298411237,0.002302555836979047,0.010994704121574949,0.026882339396730372,0.020780566428735898,0.022795302786092562,0.03753166014275846,0.00195717246143219,0.0011512779184895234,0.0049504950495049506,0.003856781026939903,0.006965231406861616,0.010476629058254663,0.00040294727147133317,0.08479161869675339,0.010534192954179138,0.03281142067695142,0.021413769283905135,0.015081740732212755,0.011915726456366568,0.008692148284595901
155,0.010116598079561043,0.0005715592135345222,0.017661179698216737,5.7155921353452216e-05,0.019890260631001373,0.0,0.019890260631001373,0.010173754000914494,0.0,0.026463191586648376,0.02394833104709648,0.060128029263831734,5.7155921353452216e-05,0.02680612711476909,0.029549611339734796,0.0005715592135345222,0.0014288980338363053,0.013946044810242341,0.02040466392318244,0.0034865112025605854,0.00800182898948331,0.005544124371284865,0.051440329218107,0.0399519890260631,0.01731824417009602,0.01417466849565615,0.008687700045724738,0.0006858710562414266,0.005887059899405579,0.024919981710105166,0.0011431184270690445,0.017146776406035666,0.03189300411522634,0.04646776406035665,0.048125285779606765,0.0013717421124828531,0.003200731595793324,0.004801097393689987,0.0018861454046639231,0.013774577046181985,0.04698216735253772,0.01960448102423411,0.02091906721536351,0.053783721993598536,0.0027434842249657062,0.0014288980338363053,0.0074302697759487885,0.01131687242798354,0.006058527663465935,0.00903063557384545,0.0003429355281207133,0.07836076817558299,0.010516689529035207,0.0411522633744856,0.02040466392318244,0.0193758573388203,0.012231367169638775,0.006744398719707362
156,0.01467663397572183,0.0006172416158013854,0.01597969960908031,0.014882381180988958,0.0216720389548042,0.0,0.017968589259995886,0.006446745765036691,0.0,0.024552499828543996,0.028393114326863728,0.0541800973870105,0.0,0.02393525821274261,0.03600576092174748,0.0010973184280913518,0.001988889650915575,0.06563335848021398,0.022014950963582743,0.0034977024895411837,0.011316096289692065,0.004389273712365407,0.04643028598861532,0.037857485769151634,0.022220698168849872,0.013785062752897606,0.017694259652973048,0.0004114944105342569,0.002263219257938413,0.019751731705644333,0.00020574720526712846,0.012962073931829092,0.030519168781290722,0.03442836568136616,0.04883067005006515,0.001851724847404156,0.003840614498319731,0.0034977024895411837,0.0017831424456484467,0.010424525066867842,0.044852890748234,0.02393525821274261,0.01707701803717166,0.043686989918386945,0.0012344832316027708,0.0011659008298470612,0.004732185721143954,0.007681228996639462,0.0077498113983951716,0.009395789040532199,0.0005486592140456759,0.0650161168644126,0.007475481791372334,0.03861189218846444,0.015293875591523216,0.016665523626637403,0.010081613058089293,0.006789657773815239
